구성품               , 수량 
아두이노 우노 R3     , 1    
저항 220             , 10  
저항 10k             , 10  
저항 1k              , 10  
830핀 브레드보드     , 1   
점퍼선               , 65  
RGB LED 모듈         , 1   
적외선 리모콘        , 1   
8x8 도트 매트릭스    , 1   
AA 6개 배터리박스    , 1   
배터리 스냅(9V용)    , 1   
Potentiometer 10k    , 1   
Tact Switch          , 4   
Active Buzzor        , 1   
Passive Buzzor       , 1   
LM35DZ(온도센서)     , 1   
Round Ball Switch    , 2   
적외선 리모콘 수신부 , 1   
조도센서(직경 5mm)   , 3   
74HC595N(Shifter)    , 1   
한 자리 7-segment FND, 2   
네 자리 7-segment FND, 1   
HC-SR04 초음파 센서  , 1   
초록색 LED           , 5   
노란색 LED           , 5   
붉은색 LED           , 5   
불꽃 센서            , 1   
Tact Switch 덮개     , 1   
아두이노 USB 케이블  , 1   
보관 상자            , 1   
